# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_WMXDOFnb","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__0WKVY0n8aE_155_160.wav""]",2.419,3.523,"{""sick"":""0""}"
"1_h8sldt3o","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__0WKVY0n8aE_155_160.wav""]",0.711,1.627,"{""sick"":""1""}"
"2_TmRXYBpC","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset_0sDlmseq2Kg_40_45.wav""]",2.981,4.616,"{""sick"":""0""}"
"4_0I8aXPCX","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset_8cM-69gMf5g_8_13.wav""]",0.877,2.648,"{""sick"":""0""}"
"4_h3AQmEZ7","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset_8cM-69gMf5g_8_13.wav""]",4.19,4.919,"{""sick"":""0""}"
"5_1BDLKAuX","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset_9h3a7fN0f-c_245_250.wav""]",0.981,2.502,"{""sick"":""0""}"
"5_yaMX6FSU","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset_9h3a7fN0f-c_245_250.wav""]",2.606,3.919,"{""sick"":""0""}"
"6_Psc1WRjb","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__0WKVY0n8aE_155_160.wav""]",0.69,1.627,"{""sick"":""1""}"
"6_Cpda4IXP","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__0WKVY0n8aE_155_160.wav""]",2.336,3.648,"{""sick"":""0""}"
"7_WVgZ2dsv","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__iLZB3eA2gM_0_5.wav""]",1.502,2.938,"{""sick"":""1""}"
"8_TfUhWdh7","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__TzZ0zRRaV0_8_13.wav""]",0.002,1.586,"{""sick"":""0""}"
"8_GwDvdiJz","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__TzZ0zRRaV0_8_13.wav""]",1.669,4.919,"{""sick"":""0""}"
"8_X5rspiid","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\audioset__TzZ0zRRaV0_8_13.wav""]",5.016,5.016,"{""sick"":""0""}"
"9_n0Xwt2dJ","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\esc50_3-146873-A-24.wav""]",0.086,1.394,"{""sick"":""0""}"
"10_fClWxHqz","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\esc50_4-157296-A-24.wav""]",0.044,0.856,"{""sick"":""0""}"
"10_6bGa0iAF","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\esc50_4-157296-A-24.wav""]",0.94,2.606,"{""sick"":""0""}"
"10_VrXTIFlQ","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\esc50_4-157296-A-24.wav""]",3.398,4.69,"{""sick"":""0""}"
"11_1Kb3gprf","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\esc50_5-208761-A-24.wav""]",1.106,2.315,"{""sick"":""0""}"
"11_UVhZkt50","[""file://E:\\ANU\\code\\coughSneezeDetection\\sampleInput\\train\\sick\\esc50_5-208761-A-24.wav""]",3.044,4.523,"{""sick"":""0""}"
